05/08/22,"Words Bubble up like Soda Pop","O"
05/08/22,"Promare","O"
05/09/22,"Batman Ninja","G"
05/10/22,"Bubble","O"
05/10/22,"The Lord of the Rings: The Two Towers","G"
05/12/22,"The Lord of the Rings: Return of the King","G"
05/12/22,"Dracula Untold","B"
05/15/22,"The Girl Who Leapt Through Time","G"		
05/15/22,"Adam by Eve: A Live in Animation","G"
05/19/22,"Morbius","B"
05/19/22,"Everything Everywhere All at Once","G"
05/20/22,"Fantastic Beasts and Where to Find Them","O"
05/20/22,"Fantastic Beasts: The Crimes of Grindelwald","O" 
05/21/22,"The Northman","O"
05/22/22,"Dont Look Up","G"
05/22/22,"Moonshot","O"
05/25/22,"Fantastic Beasts: The Secrets of Dumbledore","O" 
05/26/22,"Chip 'n Dale: Rescue Rangers","G"		 
05/31/22,"I'm Thinking of Ending Things","O" 
06/04/22,"Fireworks","O"
06/04/22,"Contagion","O"
06/04/22,"Borat Subsequent Moviefilm","G"
06/09/22,"The Grand Budapest Hotel","G"
06/09/22,"Penguins of Madagascar","G" 
06/12/22,"Crouching Tiger, Hidden Dragon","G"
06/12/22,"Deep Water","G" 
06/13/22,"Napoleon Dynamite","G" 
06/17/22,"National Treasure","O" 
06/18/22,"Get Smart","O"
06/19/22,"10,000 BC","B"
06/19/22,"The Croods: A New Age","O"
06/19/22,"Raw","G" 
06/23/22,"La La Land","G"
06/24/22,"The Year of the Everlasting Storm","O"
06/24/22,"National Treasure: Book of Secrets","O"
06/26/22,"Sing","G"
06/26/22,"Beavis And Butt-Head Do The Universe","G"
06/26/22,"Sing 2","G"					
07/07/22,"Jurassic World","G"
07/07/22,"Jurassic World: Fallen Kingdom","G"
07/07/22,"Jurassic World Dominion","O"
07/10/22,"Pirates of the Caribbean: The Curse of the Black Pearl","G"
07/10/22,"Pirates of the Caribbean: Dead Man's Chest","G"
07/10/22,"Pirates of the Caribbean: At World's End","G"
07/10/22,"The Sea Beast","G" 
07/11/22,"Pirates of the Caribbean: On Stranger Tides","O"
07/11/22,"Pirates of the Caribbean: Dead Men Tell No Tales","O"
07/16/22,"The Bob's Burgers Movie","G"			
07/16/22,"Employee of the Month","G"
07/17/22,"Lightyear","O"
07/21/22,"Bohemian Rhapsody","G"
07/21/22,"Drinking Buddies","G"
07/22/22,"Delicious","G"
07/23/22,"Ultrasound","O"
07/24/22,"Dead Poets Society","G"
07/24/22,"Together Together","G"
07/24/22,"Begin Again","G"
07/25/22,"Nomadland","G"				
07/25/22,"New Year's Eve","B"
07/26/22,"The Gray Man","O"
07/27/22,"The Great Gatsby","O"
07/30/22,"Italian Studies","O"
07/30/22,"All Good Things","O"
07/30/22,"Mean Girls","G"
07/31/22,"The Pursuit of Happyness","G"
07/31/22,"21","G"
07/31/22,"The Worst Person in the World","G" 
08/01/22,"Like Crazy","G"				
08/04/22,"2001: a space odyssey","G"
08/04/22,"Outside in","O"
08/05/22,"Belle","O"
08/05/22,"Prey","O"
08/07/22,"Admission","O"
08/07/22,"Dinner for Schmucks","O"
08/07/22,"Minions: The Rise of Gru","G"
08/07/22,"Someone Great","O"
08/08/22,"Crazy Stupid Love","G" 
08/10/22,"Holidate","O"				
08/10/22,"Love Hard","O" 
08/11/22,"Can You Keep A Secret","B"
08/11/22,"Little Italy","B" 
08/12/22,"Seeking A Friend for the End of the World","G"
08/12/22,"Ip Man","G"
08/13/22,"The Nice Guys","O"
08/13/22,"Horse Girl","O"
08/13/22,"Shaolin Soccer","O"
08/13/22,"6 Years","O"
08/14/22,"Paradise Hills","B"				
08/14/22,"The Informer","O"
08/14/22,"How to Talk to Girls at Parties","O"
08/14/22,"127 Hours","O"
08/15/22,"Nothing to Hide","G"
08/17/22,"Wounds","B"
08/17/22,"Ip Man 2","G"
08/18/22,"All My Friends Hate Me","O"
08/19/22,"Ip Man 3","G"
08/21/22,"Yes, God, Yes","B"
08/21/22,"Day Shift","G"				
08/23/22,"Five Feet Apart","B"
08/24/22,"Look Both Ways","O"
08/24/22,"Toscana","O" 
08/27/22,"That's Amor","B"
08/27/22,"Rocket Science","G"
08/28/22,"Under The Skin","O" 
09/01/22,"The Internship","G"
09/01/22,"Loving Adults","O"
09/01/22,"Top Gun Maverick","O"
09/05/22,"This is 40","O"				 
09/06/22,"Anais in Love","O"
09/07/22,"Diggers","O" 
09/08/22,"Dan in Real Life","G"
09/08/22,"Bad Luck Banging or Loony Porn","B"
09/09/22,"Thor: Love and Thunder","G"
09/11/22,"The Darjeeling Limited","O"
09/11/22,"Mary and the Witch's Flower","O"
09/11/22,"The Man Who Killed Don Quixote","G"
09/12/22,"Jeff Who Lives at Home","O"
09/12/22,"Clueless","O"				
09/15/22,"Sorry to Bother You","O"
